#Name	download_link

|is-table
||use-datatables: yes

AC Tech Alumni	https://drive.google.com/file/d/1YROrnheT849g9fdqO1AHZC9wSedfJuOc/view?usp=drive_link
AMI  Recommendation letter Swiss Indian Chamber of commerce	https://drive.google.com/file/d/1We-xeOTxIto-66NcagoUnK9RqqlH8JjH/view?usp=drive_link
AMI letter NAF	https://drive.google.com/file/d/1T6sLH2J0TbNfC7ywkVFHk6POsFkC_veq/view?usp=drive_link
AMI Rotary Letter	https://drive.google.com/file/d/1oCncknuaZ2Os-vKX10309YRyqbILd7oo/view?usp=drive_link
CARE Education Trust UK	https://drive.google.com/file/d/1c61d7cCCReT7mUD-ioRQDFhr5sQYEkGq/view?usp=drive_link
DGP Mr.JKTripathi	https://drive.google.com/file/d/1DoK-L3LLpIfjuKUrCTUTFAoVBCl6SPVL/view?usp=drive_link
Dr Sultan Ismail recommendation letter	https://drive.google.com/file/d/1UbYoR2nBXaExWUeqiWKDn9cl409c7yv2/view?usp=drive_link
IMA-PG Recommendation	https://drive.google.com/file/d/10dAfOTatHSCTiDn5ztiHsevZNOj7e9eq/view?usp=drive_link
Justice Vimala letter	https://drive.google.com/file/d/1jiMEZgU84ysKJyWcXtqhohPMjBmqvVWt/view?usp=drive_link
Letter of Reference - Sonykutty George	https://drive.google.com/file/d/1QDl77tIlPX9djll3c_OtrpGRb4suUIu2/view?usp=drive_link
Letter of reference Orange Cross	https://drive.google.com/file/d/1Uk9DmS923BM8R9_yPj7iad6i8Z8c8b_0/view?usp=drive_link
Letter of reference TSP Asia	https://drive.google.com/file/d/1Rl4oD_OU5ITR7Sly7Tk6u2OzfbmaEwtl/view?usp=drive_link
Mentoring towards excelling Sarath ref letter	https://drive.google.com/file/d/1Mwy5Y3uc9x6wvzLYx0HIXcCo4hba6DcH/view?usp=drive_link
Padmabhushan Dr. T. Ramasami	https://drive.google.com/file/d/1DhC7eCW27bKnQIHKtvqzHED3oyiXPLGz/view?usp=drive_link
TIGS Dr.Chandra Ref letter	https://drive.google.com/file/d/15QwZvwo1hHnnjU6cnvXytIRSTodDYu51/view?usp=drive_link
